2022-10-15 06:46:16 status half-installed wpasupplicant:amd64 2:2.9.0-21
2022-10-15 06:46:16 status unpacked wpasupplicant:amd64 2:2.9.0-21
2022-10-15 06:46:16 install network-manager:amd64 <none> 1.30.6-1+deb11u1
2022-10-15 06:46:16 status half-installed network-manager:amd64 1.30.6-1+deb11u1
2022-10-15 06:46:16 status unpacked network-manager:amd64 1.30.6-1+deb11u1
2022-10-15 06:46:16 install ppp:amd64 <none> 2.4.9-1+1
2022-10-15 06:46:16 status half-installed ppp:amd64 2.4.9-1+1
2022-10-15 06:46:16 status unpacked ppp:amd64 2.4.9-1+1
2022-10-15 06:46:17 install usb-modeswitch-data:all <none> 20191128-3
2022-10-15 06:46:17 status half-installed usb-modeswitch-data:all 20191128-3
2022-10-15 06:46:17 status unpacked usb-modeswitch-data:all 20191128-3
2022-10-15 06:46:17 install usb-modeswitch:amd64 <none> 2.6.1-1
2022-10-15 06:46:17 status half-installed usb-modeswitch:amd64 2.6.1-1
2022-10-15 06:46:17 status unpacked usb-modeswitch:amd64 2.6.1-1
2022-10-15 06:46:17 install wireless-regdb:all <none> 2022.04.08-2~deb11u1
2022-10-15 06:46:17 status half-installed wireless-regdb:all 2022.04.08-2~deb11u1
2022-10-15 06:46:17 status unpacked wireless-regdb:all 2022.04.08-2~deb11u1
2022-10-15 06:46:17 startup packages configure
2022-10-15 06:46:17 configure systemd-sysv:amd64 247.3-7+deb11u1 <none>
2022-10-15 06:46:17 status unpacked systemd-sysv:amd64 247.3-7+deb11u1
2022-10-15 06:46:17 status half-configured systemd-sysv:amd64 247.3-7+deb11u1
2022-10-15 06:46:17 status installed systemd-sysv:amd64 247.3-7+deb11u1
2022-10-15 06:46:17 configure libjim0.79:amd64 0.79+dfsg0-2 <none>
2022-10-15 06:46:17 status unpacked libjim0.79:amd64 0.79+dfsg0-2
2022-10-15 06:46:17 status half-configured libjim0.79:amd64 0.79+dfsg0-2
2022-10-15 06:46:17 status installed libjim0.79:amd64 0.79+dfsg0-2
2022-10-15 06:46:17 configure libip6tc2:amd64 1.8.7-1 <none>
2022-10-15 06:46:17 status unpacked libip6tc2:amd64 1.8.7-1
2022-10-15 06:46:17 status half-configured libip6tc2:amd64 1.8.7-1
2022-10-15 06:46:17 status installed libip6tc2:amd64 1.8.7-1
2022-10-15 06:46:17 configure wireless-regdb:all 2022.04.08-2~deb11u1 <none>
2022-10-15 06:46:17 status unpacked wireless-regdb:all 2022.04.08-2~deb11u1
2022-10-15 06:46:17 status half-configured wireless-regdb:all 2022.04.08-2~deb11u1
2022-10-15 06:46:17 status installed wireless-regdb:all 2022.04.08-2~deb11u1
2022-10-15 06:46:17 configure libnss-systemd:amd64 247.3-7+deb11u1 <none>
2022-10-15 06:46:17 status unpacked libnss-systemd:amd64 247.3-7+deb11u1
2022-10-15 06:46:17 status half-configured libnss-systemd:amd64 247.3-7+deb11u1
2022-10-15 06:46:17 status installed libnss-systemd:amd64 247.3-7+deb11u1
2022-10-15 06:46:17 configure libjansson4:amd64 2.13.1-1.1 <none>
2022-10-15 06:46:17 status unpacked libjansson4:amd64 2.13.1-1.1
2022-10-15 06:46:17 status half-configured libjansson4:amd64 2.13.1-1.1
2022-10-15 06:46:17 status installed libjansson4:amd64 2.13.1-1.1
2022-10-15 06:46:17 configure dns-root-data:all 2021011101 <none>
2022-10-15 06:46:17 status unpacked dns-root-data:all 2021011101
2022-10-15 06:46:17 status half-configured dns-root-data:all 2021011101
2022-10-15 06:46:17 status installed dns-root-data:all 2021011101
2022-10-15 06:46:17 configure libslang2:amd64 2.3.2-5 <none>
2022-10-15 06:46:17 status unpacked libslang2:amd64 2.3.2-5
2022-10-15 06:46:17 status half-configured libslang2:amd64 2.3.2-5
2022-10-15 06:46:17 status installed libslang2:amd64 2.3.2-5
2022-10-15 06:46:17 configure libdbus-1-3:amd64 1.12.24-0+deb11u1 <none>
2022-10-15 06:46:17 status unpacked libdbus-1-3:amd64 1.12.24-0+deb11u1
2022-10-15 06:46:17 status half-configured libdbus-1-3:amd64 1.12.24-0+deb11u1
2022-10-15 06:46:17 status installed libdbus-1-3:amd64 1.12.24-0+deb11u1
2022-10-15 06:46:17 configure dbus:amd64 1.12.24-0+deb11u1 <none>
2022-10-15 06:46:17 status unpacked dbus:amd64 1.12.24-0+deb11u1
2022-10-15 06:46:17 status half-configured dbus:amd64 1.12.24-0+deb11u1
2022-10-15 06:46:17 status installed dbus:amd64 1.12.24-0+deb11u1
2022-10-15 06:46:17 configure usb-modeswitch-data:all 20191128-3 <none>
2022-10-15 06:46:17 status unpacked usb-modeswitch-data:all 20191128-3
2022-10-15 06:46:17 status half-configured usb-modeswitch-data:all 20191128-3
2022-10-15 06:46:17 status installed usb-modeswitch-data:all 20191128-3
2022-10-15 06:46:18 configure libmnl0:amd64 1.0.4-3 <none>
2022-10-15 06:46:18 status unpacked libmnl0:amd64 1.0.4-3
2022-10-15 06:46:18 status half-configured libmnl0:amd64 1.0.4-3
2022-10-15 06:46:18 status installed libmnl0:amd64 1.0.4-3
2022-10-15 06:46:18 configure systemd-timesyncd:amd64 247.3-7+deb11u1 <none>
2022-10-15 06:46:18 status unpacked systemd-timesyncd:amd64 247.3-7+deb11u1
2022-10-15 06:46:18 status half-configured systemd-timesyncd:amd64 247.3-7+deb11u1
2022-10-15 06:46:18 status installed systemd-timesyncd:amd64 247.3-7+deb11u1
2022-10-15 06:46:18 configure udev:amd64 247.3-7+deb11u1 <none>
2022-10-15 06:46:18 status unpacked udev:amd64 247.3-7+deb11u1
2022-10-15 06:46:18 status half-configured udev:amd64 247.3-7+deb11u1
2022-10-15 06:46:18 status installed udev:amd64 247.3-7+deb11u1
2022-10-15 06:46:18 configure libpcsclite1:amd64 1.9.1-1 <none>
2022-10-15 06:46:18 status unpacked libpcsclite1:amd64 1.9.1-1
2022-10-15 06:46:18 status half-configured libpcsclite1:amd64 1.9.1-1
2022-10-15 06:46:18 status installed libpcsclite1:amd64 1.9.1-1
2022-10-15 06:46:18 configure libxtables12:amd64 1.8.7-1 <none>
2022-10-15 06:46:18 status unpacked libxtables12:amd64 1.8.7-1
2022-10-15 06:46:18 status half-configured libxtables12:amd64 1.8.7-1
2022-10-15 06:46:18 status installed libxtables12:amd64 1.8.7-1
2022-10-15 06:46:18 configure libnm0:amd64 1.30.6-1+deb11u1 <none>
2022-10-15 06:46:18 status unpacked libnm0:amd64 1.30.6-1+deb11u1
2022-10-15 06:46:18 status half-configured libnm0:amd64 1.30.6-1+deb11u1
2022-10-15 06:46:18 status installed libnm0:amd64 1.30.6-1+deb11u1
2022-10-15 06:46:19 configure libmm-glib0:amd64 1.14.12-0.2 <none>
2022-10-15 06:46:19 status unpacked libmm-glib0:amd64 1.14.12-0.2
2022-10-15 06:46:19 status half-configured libmm-glib0:amd64 1.14.12-0.2
2022-10-15 06:46:19 status installed libmm-glib0:amd64 1.14.12-0.2
2022-10-15 06:46:19 configure libnfnetlink0:amd64 1.0.1-3+b1 <none>
2022-10-15 06:46:19 status unpacked libnfnetlink0:amd64 1.0.1-3+b1
2022-10-15 06:46:19 status half-configured libnfnetlink0:amd64 1.0.1-3+b1
2022-10-15 06:46:19 status installed libnfnetlink0:amd64 1.0.1-3+b1
2022-10-15 06:46:19 configure libnl-3-200:amd64 3.4.0-1+b1 <none>
2022-10-15 06:46:19 status unpacked libnl-3-200:amd64 3.4.0-1+b1
2022-10-15 06:46:19 status half-configured libnl-3-200:amd64 3.4.0-1+b1
2022-10-15 06:46:19 status installed libnl-3-200:amd64 3.4.0-1+b1
2022-10-15 06:46:19 configure libpam-systemd:amd64 247.3-7+deb11u1 <none>
2022-10-15 06:46:19 status unpacked libpam-systemd:amd64 247.3-7+deb11u1
2022-10-15 06:46:19 status half-configured libpam-systemd:amd64 247.3-7+deb11u1
2022-10-15 06:46:19 status installed libpam-systemd:amd64 247.3-7+deb11u1
2022-10-15 06:46:19 configure libusb-1.0-0:amd64 2:1.0.24-3 <none>
2022-10-15 06:46:19 status unpacked libusb-1.0-0:amd64 2:1.0.24-3
2022-10-15 06:46:19 status half-configured libusb-1.0-0:amd64 2:1.0.24-3
2022-10-15 06:46:19 status installed libusb-1.0-0:amd64 2:1.0.24-3
2022-10-15 06:46:19 configure libndp0:amd64 1.6-1+b1 <none>
2022-10-15 06:46:19 status unpacked libndp0:amd64 1.6-1+b1
2022-10-15 06:46:19 status half-configured libndp0:amd64 1.6-1+b1
2022-10-15 06:46:19 status installed libndp0:amd64 1.6-1+b1
2022-10-15 06:46:19 configure libgudev-1.0-0:amd64 234-1 <none>
2022-10-15 06:46:19 status unpacked libgudev-1.0-0:amd64 234-1
2022-10-15 06:46:19 status half-configured libgudev-1.0-0:amd64 234-1
2022-10-15 06:46:19 status installed libgudev-1.0-0:amd64 234-1
2022-10-15 06:46:19 configure libpolkit-gobject-1-0:amd64 0.105-31+deb11u1 <none>
2022-10-15 06:46:19 status unpacked libpolkit-gobject-1-0:amd64 0.105-31+deb11u1
2022-10-15 06:46:19 status half-configured libpolkit-gobject-1-0:amd64 0.105-31+deb11u1
2022-10-15 06:46:19 status installed libpolkit-gobject-1-0:amd64 0.105-31+deb11u1
2022-10-15 06:46:19 configure libmbim-glib4:amd64 1.24.6-0.1 <none>
2022-10-15 06:46:19 status unpacked libmbim-glib4:amd64 1.24.6-0.1
2022-10-15 06:46:19 status half-configured libmbim-glib4:amd64 1.24.6-0.1
2022-10-15 06:46:19 status installed libmbim-glib4:amd64 1.24.6-0.1
2022-10-15 06:46:19 configure libnewt0.52:amd64 0.52.21-4+b3 <none>
2022-10-15 06:46:19 status unpacked libnewt0.52:amd64 0.52.21-4+b3
2022-10-15 06:46:19 status half-configured libnewt0.52:amd64 0.52.21-4+b3
2022-10-15 06:46:19 status installed libnewt0.52:amd64 0.52.21-4+b3
2022-10-15 06:46:19 configure libnftnl11:amd64 1.1.9-1 <none>
2022-10-15 06:46:19 status unpacked libnftnl11:amd64 1.1.9-1
2022-10-15 06:46:19 status half-configured libnftnl11:amd64 1.1.9-1
2022-10-15 06:46:19 status installed libnftnl11:amd64 1.1.9-1
2022-10-15 06:46:19 configure libmbim-proxy:amd64 1.24.6-0.1 <none>
2022-10-15 06:46:19 status unpacked libmbim-proxy:amd64 1.24.6-0.1
2022-10-15 06:46:19 status half-configured libmbim-proxy:amd64 1.24.6-0.1
2022-10-15 06:46:19 status installed libmbim-proxy:amd64 1.24.6-0.1
2022-10-15 06:46:19 configure libnl-route-3-200:amd64 3.4.0-1+b1 <none>
2022-10-15 06:46:19 status unpacked libnl-route-3-200:amd64 3.4.0-1+b1
2022-10-15 06:46:19 status half-configured libnl-route-3-200:amd64 3.4.0-1+b1
2022-10-15 06:46:19 status installed libnl-route-3-200:amd64 3.4.0-1+b1
2022-10-15 06:46:19 configure libpcap0.8:amd64 1.10.0-2 <none>
2022-10-15 06:46:19 status unpacked libpcap0.8:amd64 1.10.0-2
2022-10-15 06:46:19 status half-configured libpcap0.8:amd64 1.10.0-2
2022-10-15 06:46:19 status installed libpcap0.8:amd64 1.10.0-2
2022-10-15 06:46:19 configure libteamdctl0:amd64 1.31-1 <none>
2022-10-15 06:46:19 status unpacked libteamdctl0:amd64 1.31-1
2022-10-15 06:46:19 status half-configured libteamdctl0:amd64 1.31-1
2022-10-15 06:46:19 status installed libteamdctl0:amd64 1.31-1
2022-10-15 06:46:19 configure ppp:amd64 2.4.9-1+1 <none>
2022-10-15 06:46:19 status unpacked ppp:amd64 2.4.9-1+1
2022-10-15 06:46:19 status half-configured ppp:amd64 2.4.9-1+1
2022-10-15 06:46:19 status installed ppp:amd64 2.4.9-1+1
2022-10-15 06:46:19 configure libnetfilter-conntrack3:amd64 1.0.8-3 <none>
2022-10-15 06:46:19 status unpacked libnetfilter-conntrack3:amd64 1.0.8-3
